# x u(x,t)
0.000000000000000000e+00 1.455079307299197988e-02
1.220703125000000000e-04 1.503042705475578569e-02
2.441406250000000000e-04 1.551005219450664850e-02
3.662109375000000000e-04 1.598966821009336139e-02
4.882812500000000000e-04 1.646927481937012633e-02
6.103515625000000000e-04 1.694887174019699821e-02
7.324218750000000000e-04 1.742845869043928991e-02
8.544921875000000000e-04 1.790803538796827826e-02
9.765625000000000000e-04 1.838760155066148858e-02
1.098632812500000000e-03 1.886715689640244137e-02
1.220703125000000000e-03 1.934670114308119707e-02
1.342773437500000000e-03 1.982623400859394661e-02
1.464843750000000000e-03 2.030575521084418758e-02
1.586914062500000000e-03 2.078526446774168687e-02
1.708984375000000000e-03 2.126476149720369496e-02
1.831054687500000000e-03 2.174424601715443939e-02
1.953125000000000000e-03 2.222371774552540577e-02
2.075195312500000000e-03 2.270317640025577149e-02
2.197265625000000000e-03 2.318262169929248898e-02
2.319335937500000000e-03 2.366205336059009137e-02
2.441406250000000000e-03 2.414147110211128239e-02
2.563476562500000000e-03 2.462087464182707505e-02
2.685546875000000000e-03 2.510026369771675356e-02
2.807617187500000000e-03 2.557963798776790795e-02
2.929687500000000000e-03 2.605899722997700660e-02
3.051757812500000000e-03 2.653834114234951413e-02
3.173828125000000000e-03 2.701766944289967637e-02
3.295898437500000000e-03 2.749698184965091927e-02
3.417968750000000000e-03 2.797627808063630345e-02
3.540039062500000000e-03 2.845555785389792397e-02
3.662109375000000000e-03 2.893482088748819750e-02
3.784179687500000000e-03 2.941406689946875902e-02
3.906250000000000000e-03 2.989329560791147491e-02
4.028320312500000000e-03 3.037250673089867889e-02
4.150390625000000000e-03 3.085169998652276258e-02
4.272460937500000000e-03 3.133087509288657452e-02
4.394531250000000000e-03 3.181003176810365957e-02
4.516601562500000000e-03 3.228916973029880705e-02
4.638671875000000000e-03 3.276828869760725627e-02
4.760742187500000000e-03 3.324738838817572345e-02
4.882812500000000000e-03 3.372646852016213115e-02
5.004882812500000000e-03 3.420552881173611476e-02
5.126953125000000000e-03 3.468456898107880743e-02
5.249023437500000000e-03 3.516358874638315229e-02
5.371093750000000000e-03 3.564258782585427721e-02
5.493164062500000000e-03 3.612156593770918245e-02
5.615234375000000000e-03 3.660052280017757342e-02
5.737304687500000000e-03 3.707945813150143738e-02
5.859375000000000000e-03 3.755837164993525851e-02
5.981445312500000000e-03 3.803726307374685062e-02
