# x u(x,t)
0.000000000000000000e+00 1.320381633239828545e-01
1.220703125000000000e-04 1.319893974237962009e-01
2.441406250000000000e-04 1.319405538776476372e-01
3.662109375000000000e-04 1.318916327142706235e-01
4.882812500000000000e-04 1.318426339624441113e-01
6.103515625000000000e-04 1.317935576509929596e-01
7.324218750000000000e-04 1.317444038087873803e-01
8.544921875000000000e-04 1.316951724647434374e-01
9.765625000000000000e-04 1.316458636478224919e-01
1.098632812500000000e-03 1.315964773870318405e-01
1.220703125000000000e-03 1.315470137114239657e-01
1.342773437500000000e-03 1.314974726500972302e-01
1.464843750000000000e-03 1.314478542321952381e-01
1.586914062500000000e-03 1.313981584869073349e-01
1.708984375000000000e-03 1.313483854434681353e-01
1.831054687500000000e-03 1.312985351311579396e-01
1.953125000000000000e-03 1.312486075793022622e-01
2.075195312500000000e-03 1.311986028172724139e-01
2.197265625000000000e-03 1.311485208744847530e-01
2.319335937500000000e-03 1.310983617804012402e-01
2.441406250000000000e-03 1.310481255645291332e-01
2.563476562500000000e-03 1.309978122564211533e-01
2.685546875000000000e-03 1.309474218856753192e-01
2.807617187500000000e-03 1.308969544819349184e-01
2.929687500000000000e-03 1.308464100748887304e-01
3.051757812500000000e-03 1.307957886942707759e-01
3.173828125000000000e-03 1.307450903698600397e-01
3.295898437500000000e-03 1.306943151314813312e-01
3.417968750000000000e-03 1.306434630090042293e-01
3.540039062500000000e-03 1.305925340323438322e-01
3.662109375000000000e-03 1.305415282314602576e-01
3.784179687500000000e-03 1.304904456363590315e-01
3.906250000000000000e-03 1.304392862770905603e-01
4.028320312500000000e-03 1.303880501837507699e-01
4.150390625000000000e-03 1.303367373864803280e-01
4.272460937500000000e-03 1.302853479154654215e-01
4.394531250000000000e-03 1.302338818009370347e-01
4.516601562500000000e-03 1.301823390731713936e-01
4.638671875000000000e-03 1.301307197624897438e-01
4.760742187500000000e-03 1.300790238992583503e-01
4.882812500000000000e-03 1.300272515138886364e-01
5.004882812500000000e-03 1.299754026368369897e-01
5.126953125000000000e-03 1.299234772986046504e-01
5.249023437500000000e-03 1.298714755297381007e-01
5.371093750000000000e-03 1.298193973608285090e-01
5.493164062500000000e-03 1.297672428225121743e-01
5.615234375000000000e-03 1.297150119454702211e-01
5.737304687500000000e-03 1.296627047604289040e-01
5.859375000000000000e-03 1.296103212981588870e-01
5.981445312500000000e-03 1.295578615894763530e-01
6.103515625000000000e-03 1.295053256652416995e-01
6.225585937500000000e-03 1.294527135563607323e-01
6.347656250000000000e-03 1.294000252937835826e-01
6.469726562500000000e-03 1.293472609085054570e-01
6.591796875000000000e-03 1.292944204315662760e-01
6.713867187500000000e-03 1.292415038940508409e-01
6.835937500000000000e-03 1.291885113270883623e-01
6.958007812500000000e-03 1.291354427618532918e-01
7.080078125000000000e-03 1.290822982295642407e-01
7.202148437500000000e-03 1.290290777614849227e-01
7.324218750000000000e-03 1.289757813889234606e-01
7.446289062500000000e-03 1.289224091432328856e-01
7.568359375000000000e-03 1.288689610558105270e-01
7.690429687500000000e-03 1.288154371580987334e-01
7.812500000000000000e-03 1.287618374815839850e-01
7.934570312500000000e-03 1.287081620577978369e-01
