# x u(x,t)
0.000000000000000000e+00 9.901917379546328890e-01
1.220703125000000000e-04 9.901774076235730915e-01
2.441406250000000000e-04 9.901623531921008858e-01
3.662109375000000000e-04 9.901465747238834547e-01
4.882812500000000000e-04 9.901300722557124789e-01
6.103515625000000000e-04 9.901128457975199026e-01
7.324218750000000000e-04 9.900948953323948087e-01
8.544921875000000000e-04 9.900762208166009604e-01
9.765625000000000000e-04 9.900568221795940094e-01
1.098632812500000000e-03 9.900366993240403701e-01
1.220703125000000000e-03 9.900158521258364264e-01
1.342773437500000000e-03 9.899942804341266278e-01
1.464843750000000000e-03 9.899719840713243624e-01
1.586914062500000000e-03 9.899489628331324953e-01
1.708984375000000000e-03 9.899252164885635752e-01
1.831054687500000000e-03 9.899007447799622605e-01
1.953125000000000000e-03 9.898755474230258589e-01
2.075195312500000000e-03 9.898496241068284185e-01
2.197265625000000000e-03 9.898229744938424890e-01
2.319335937500000000e-03 9.897955982199635461e-01
2.441406250000000000e-03 9.897674948945329731e-01
2.563476562500000000e-03 9.897386641003638186e-01
2.685546875000000000e-03 9.897091053937649985e-01
2.807617187500000000e-03 9.896788183045667209e-01
2.929687500000000000e-03 9.896478023361471310e-01
3.051757812500000000e-03 9.896160569654584016e-01
3.173828125000000000e-03 9.895835816430540444e-01
3.295898437500000000e-03 9.895503757931162214e-01
3.417968750000000000e-03 9.895164388134840561e-01
3.540039062500000000e-03 9.894817700756819434e-01
3.662109375000000000e-03 9.894463689249488603e-01
3.784179687500000000e-03 9.894102346802673420e-01
3.906250000000000000e-03 9.893733666343937916e-01
4.028320312500000000e-03 9.893357640538903430e-01
4.150390625000000000e-03 9.892974261791532831e-01
4.272460937500000000e-03 9.892583522244465799e-01
4.394531250000000000e-03 9.892185413779333025e-01
4.516601562500000000e-03 9.891779928017079282e-01
4.638671875000000000e-03 9.891367056318296491e-01
4.760742187500000000e-03 9.890946789783557902e-01
4.882812500000000000e-03 9.890519119253753377e-01
5.004882812500000000e-03 9.890084035310442445e-01
5.126953125000000000e-03 9.889641528276198468e-01
5.249023437500000000e-03 9.889191588214962803e-01
5.371093750000000000e-03 9.888734204932401184e-01
5.493164062500000000e-03 9.888269367976282309e-01
5.615234375000000000e-03 9.887797066636826449e-01
5.737304687500000000e-03 9.887317289947092913e-01
5.859375000000000000e-03 9.886830026683354200e-01
5.981445312500000000e-03 9.886335265365482350e-01
6.103515625000000000e-03 9.885832994257335304e-01
6.225585937500000000e-03 9.885323201367148815e-01
6.347656250000000000e-03 9.884805874447933904e-01
6.469726562500000000e-03 9.884281000997889866e-01
6.591796875000000000e-03 9.883748568260795064e-01
6.713867187500000000e-03 9.883208563226435484e-01
6.835937500000000000e-03 9.882660972631009955e-01
6.958007812500000000e-03 9.882105782957562035e-01
