# x u(x,t)
0.000000000000000000e+00 1.210126052099066984e-10
1.220703125000000000e-04 1.161709861337636984e-10
2.441406250000000000e-04 1.115165392754496887e-10
3.662109375000000000e-04 1.070422763014416967e-10
4.882812500000000000e-04 1.027414050103897525e-10
6.103515625000000000e-04 9.860738419374681651e-11
7.324218750000000000e-04 9.463408051982313829e-11
8.544921875000000000e-04 9.081552090201006067e-11
9.765625000000000000e-04 8.714574721568890681e-11
1.098632812500000000e-03 8.361931112810250255e-11
1.220703125000000000e-03 8.023071573423634639e-11
1.342773437500000000e-03 7.697483189045284391e-11
1.464843750000000000e-03 7.384665925633249195e-11
1.586914062500000000e-03 7.084131285056693983e-11
1.708984375000000000e-03 6.795416833405010237e-11
1.831054687500000000e-03 6.518071282365922592e-11
1.953125000000000000e-03 6.251665417983387485e-11
2.075195312500000000e-03 5.995785378604123750e-11
2.197265625000000000e-03 5.750032394669091218e-11
2.319335937500000000e-03 5.514011990059852764e-11
2.441406250000000000e-03 5.287360133054974654e-11
2.563476562500000000e-03 5.069717128741713097e-11
2.685546875000000000e-03 4.860725884292538268e-11
2.807617187500000000e-03 4.660062266625963900e-11
2.929687500000000000e-03 4.467416801073875732e-11
3.051757812500000000e-03 4.282469778099651236e-11
3.173828125000000000e-03 4.104918401720558663e-11
3.295898437500000000e-03 3.934492835699909818e-11
3.417968750000000000e-03 3.770908758859992105e-11
3.540039062500000000e-03 3.613903100385673639e-11
3.662109375000000000e-03 3.463211835363910751e-11
3.784179687500000000e-03 3.318600862861620371e-11
3.906250000000000000e-03 3.179828015481556136e-11
4.028320312500000000e-03 3.046678100776523124e-11
4.150390625000000000e-03 2.918907216625798995e-11
4.272460937500000000e-03 2.796323068932071720e-11
4.394531250000000000e-03 2.678727378802037151e-11
4.516601562500000000e-03 2.565912586571794662e-11
4.638671875000000000e-03 2.457681801126820886e-11
4.760742187500000000e-03 2.353873346239154785e-11
4.882812500000000000e-03 2.254316178174065044e-11
5.004882812500000000e-03 2.158819477349194216e-11
5.126953125000000000e-03 2.067248976167501695e-11
5.249023437500000000e-03 1.979432069643127790e-11
5.371093750000000000e-03 1.895221479752962068e-11
5.493164062500000000e-03 1.814485020568135099e-11
5.615234375000000000e-03 1.737064485307637796e-11
5.737304687500000000e-03 1.662852841533002390e-11
5.859375000000000000e-03 1.591699862191209291e-11
5.981445312500000000e-03 1.523510831380470165e-11
6.103515625000000000e-03 1.458125807596299950e-11
6.225585937500000000e-03 1.395474187593226389e-11
6.347656250000000000e-03 1.335417887382561730e-11
6.469726562500000000e-03 1.277870170790507132e-11
6.591796875000000000e-03 1.222714811344172148e-11
6.713867187500000000e-03 1.169872011763661845e-11
6.835937500000000000e-03 1.119232657942337283e-11
6.958007812500000000e-03 1.070724238438902631e-11
7.080078125000000000e-03 1.024237812619066545e-11
7.202148437500000000e-03 9.797255021148920662e-12
7.324218750000000000e-03 9.370670905894940006e-12
7.446289062500000000e-03 8.962202507900585147e-12
7.568359375000000000e-03 8.570835013932409652e-12
7.690429687500000000e-03 8.196094844481471853e-12
7.812500000000000000e-03 7.837199639260106210e-12
7.934570312500000000e-03 7.493594286756000145e-12
8.056640625000000000e-03 7.164425303018973068e-12
8.178710937500000000e-03 6.849345743353829619e-12
8.300781250000000000e-03 6.547758862884833775e-12
8.422851562500000000e-03 6.258979445838974698e-12
8.544921875000000000e-03 5.982450645980463833e-12
8.666992187500000000e-03 5.717856743636673400e-12
8.789062500000000000e-03 5.464569768909299796e-12
8.911132812500000000e-03 5.222162979823252726e-12
9.033203125000000000e-03 4.990122898229643056e-12
9.155273437500000000e-03 4.768095640539371516e-12
9.277343750000000000e-03 4.555595484179164600e-12
9.399414062500000000e-03 4.352369159521529696e-12
9.521484375000000000e-03 4.157785227221211244e-12
9.643554687500000000e-03 3.971739603869650637e-12
9.765625000000000000e-03 3.793704933530150925e-12
9.887695312500000000e-03 3.623441824363027308e-12
1.000976562500000000e-02 3.460537412180997308e-12
1.013183593750000000e-02 3.304786999613895659e-12
1.025390625000000000e-02 3.155826294731767234e-12
1.037597656250000000e-02 3.013363863990647928e-12
1.049804687500000000e-02 2.876983373756303308e-12
1.062011718750000000e-02 2.746681354581781420e-12
1.074218750000000000e-02 2.622211475733493558e-12
1.086425781250000000e-02 2.503004747911319328e-12
1.098632812500000000e-02 2.389224235122000550e-12
1.110839843750000000e-02 2.280464012072158653e-12
1.123046875000000000e-02 2.176387542407454134e-12
1.135253906250000000e-02 2.076949723317511598e-12
1.147460937500000000e-02 1.981959735219973595e-12
1.159667968750000000e-02 1.891077572313548671e-12
1.171875000000000000e-02 1.804393440218987621e-12
1.184082031250000000e-02 1.721327941295314190e-12
1.196289062500000000e-02 1.642134345170020993e-12
1.208496093750000000e-02 1.566431012678393131e-12
1.220703125000000000e-02 1.494186718797863023e-12
1.232910156250000000e-02 1.425075335514947028e-12
1.245117187500000000e-02 1.359065637807077565e-12
1.257324218750000000e-02 1.295963336644945230e-12
1.269531250000000000e-02 1.235865576543204725e-12
1.281738281250000000e-02 1.178297043269438404e-12
1.293945312500000000e-02 1.123434678618195903e-12
1.306152343750000000e-02 1.071042560196744375e-12
1.318359375000000000e-02 1.020940276763582233e-12
1.330566406250000000e-02 9.731590533412770583e-13
1.342773437500000000e-02 9.275635814987026606e-13
1.354980468750000000e-02 8.840463083803484778e-13
1.367187500000000000e-02 8.425100894715598088e-13
1.379394531250000000e-02 8.027363496143635757e-13
1.391601562500000000e-02 7.648257027703664335e-13
1.403808593750000000e-02 7.287850878334722893e-13
1.416015625000000000e-02 6.943473573883807148e-13
1.428222656250000000e-02 6.613667946631096584e-13
1.440429687500000000e-02 6.300029942174489861e-13
1.452636718750000000e-02 6.000859531507529709e-13
1.464843750000000000e-02 5.715011797136071436e-13
1.477050781250000000e-02 5.441931627547802464e-13
1.489257812500000000e-02 5.182243523194074442e-13
1.501464843750000000e-02 4.934663788702664533e-13
1.513671875000000000e-02 4.698463840213662479e-13
1.525878906250000000e-02 4.473019177275716629e-13
1.538085937500000000e-02 4.257393049211799507e-13
1.550292968750000000e-02 4.052036484125665083e-13
1.562500000000000000e-02 3.856602537322117996e-13
1.574707031250000000e-02 3.670640180697404276e-13
1.586914062500000000e-02 3.492657552062183868e-13
1.599121093750000000e-02 3.323522013154445176e-13
1.611328125000000000e-02 3.162400896705719333e-13
1.623535156250000000e-02 3.008669702264654688e-13
1.635742187500000000e-02 2.862085568544614489e-13
1.647949218750000000e-02 2.721434189112414970e-13
1.660156250000000000e-02 2.589317649182021341e-13
1.672363281250000000e-02 2.461815473697726020e-13
1.684570312500000000e-02 2.341390969995416071e-13
1.696777343750000000e-02 2.227211470806622629e-13
1.708984375000000000e-02 2.117230002429693059e-13
1.721191406250000000e-02 2.012036370846459477e-13
1.733398437500000000e-02 1.913157132715781472e-13
1.745605468750000000e-02 1.817712647067537546e-13
1.757812500000000000e-02 1.727853971011938938e-13
1.770019531250000000e-02 1.642158631298684668e-13
1.782226562500000000e-02 1.560036821945942620e-13
1.794433593750000000e-02 1.482529377039298879e-13
1.806640625000000000e-02 1.408317906737011072e-13
1.818847656250000000e-02 1.337992217020911312e-13
1.831054687500000000e-02 1.270997196378687022e-13
1.843261718750000000e-02 1.206257316255232581e-13
1.855468750000000000e-02 1.145333827778927116e-13
1.867675781250000000e-02 1.087602230498418976e-13
1.879882812500000000e-02 1.032854357596590944e-13
1.892089843750000000e-02 9.799105971097787915e-14
1.904296875000000000e-02 9.307138393310765423e-14
1.916503906250000000e-02 8.833211939673901725e-14
1.928710937500000000e-02 8.376632720796806097e-14
1.940917968750000000e-02 7.953360192658465166e-14
1.953125000000000000e-02 7.540496005375985078e-14
1.965332031250000000e-02 7.152611836147571012e-14
1.977539062500000000e-02 6.776523786555799234e-14
1.989746093750000000e-02 6.433742427702782152e-14
2.001953125000000000e-02 6.107614414219142418e-14
2.014160156250000000e-02 5.782180290125893407e-14
2.026367187500000000e-02 5.481032294696319696e-14
2.038574218750000000e-02 5.197231534026514055e-14
2.050781250000000000e-02 4.928696339945304317e-14
2.062988281250000000e-02 4.664324482206438915e-14
2.075195312500000000e-02 4.421463195569685922e-14
2.087402343750000000e-02 4.186928581617621603e-14
2.099609375000000000e-02 3.972516759986888246e-14
2.111816406250000000e-02 3.755329380794591998e-14
2.124023437500000000e-02 3.549938121238938038e-14
2.136230468750000000e-02 3.359812428271879980e-14
2.148437500000000000e-02 3.176625629208729151e-14
2.160644531250000000e-02 3.003153281611048442e-14
2.172851562500000000e-02 2.841477053650010021e-14
2.185058593750000000e-02 2.681882493860143768e-14
2.197265625000000000e-02 2.543104615781999200e-14
2.209472656250000000e-02 2.409183963436589693e-14
2.221679687500000000e-02 2.272487753529617294e-14
2.233886718750000000e-02 2.134403764841863449e-14
2.246093750000000000e-02 2.026157019940910686e-14
2.258300781250000000e-02 1.902644708451362021e-14
2.270507812500000000e-02 1.798561299892753595e-14
2.282714843750000000e-02 1.700029006457270953e-14
2.294921875000000000e-02 1.604272270583351201e-14
2.307128906250000000e-02 1.509903313490212895e-14
2.319335937500000000e-02 1.416922135177856035e-14
2.331542968750000000e-02 1.337818744673313631e-14
2.343750000000000000e-02 1.265654248072678456e-14
2.355957031250000000e-02 1.185163078787354607e-14
2.368164062500000000e-02 1.115080250357891600e-14
2.380371093750000000e-02 1.042221864366865702e-14
2.392578125000000000e-02 9.894862706971707667e-15
2.404785156250000000e-02 9.235667786100520971e-15
2.416992187500000000e-02 8.715250743307478842e-15
2.429199218750000000e-02 8.097689185859735517e-15
2.441406250000000000e-02 7.632783294297951215e-15
